Short Period,Long Period,Exit After,Stop Loss,Take Profit,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
20,60,10,0.01,0.07,10000,9475.01980889,-1.9992784050283654,-0.7726835856904796,-0.1281928562166715,5.921644967188082,-0.053926251379719986,-0.010744260573619817,-0.05249801911100003,69.70975211,18,0.1111111111111111,1.3288404735469954
20,60,10,0.02,0.03,10000,9896.410243004007,-1.7144250083197348,-0.30346598891058757,-0.04718604654248562,3.1541771083616372,-0.010413003326166764,-0.002083737634262121,-0.01035897569959925,71.06611099599999,18,0.4444444444444444,0.9609848854986377
20,60,10,0.02,0.05,10000,9711.969466100001,-1.1969031294831711,-0.4060429930607128,-0.08954139445253395,4.627658768364416,-0.029226002617183024,-0.0058373892187374874,-0.028803053389999878,70.29993790000002,18,0.3888888888888889,0.8247272981483927
20,60,10,0.02,0.07,10000,9695.367567346,-1.3480217372481689,-0.4513163157739999,-0.09178202257730414,4.792689287456964,-0.030936891934461933,-0.00617805210458328,-0.030463243265399977,70.367587654,18,0.2222222222222222,1.9678674791211828
20,60,10,0.03,0.03,10000,9857.323679564002,-2.029468076717457,-0.32850664929429774,-0.06029171931452219,3.59310375608628,-0.014370393316759902,-0.0028745086116555687,-0.01426763204359977,66.296882436,17,0.47058823529411764,0.7798608780541603
20,60,10,0.03,0.05,10000,9629.862473162006,-1.676699268600119,-0.5186072549359427,-0.10372461390397875,5.443840089938856,-0.03771614836989106,-0.007526753141107453,-0.03701375268379943,65.80038983800002,17,0.4117647058823529,0.5850327620937462
20,60,10,0.03,0.07,10000,9620.247849408004,-1.8299013217569058,-0.5388385429464374,-0.10481684075859879,5.539413877763578,-0.03871506467658993,-0.007725328044784731,-0.03797521505919958,65.96526459200001,17,0.23529411764705882,1.4530816896007006
20,60,15,0.01,0.03,10000,9739.236608018,-1.7664575034940155,-0.7443288253772701,-0.10344431866603296,3.5930130256849977,-0.026422355411444828,-0.00527888989787645,-0.026076339198200002,70.44688898199999,18,0.2777777777777778,0.976547991568243
20,60,15,0.01,0.05,10000,9532.654702516007,-1.68838105722255,-0.665382890237345,-0.1259475785449391,5.348727582623769,-0.04786185142089295,-0.00954177428400066,-0.04673452974839929,69.884545484,18,0.2222222222222222,0.6729108241593397
20,60,15,0.01,0.07,10000,9415.172451896002,-2.276699080907321,-0.8824767276490688,-0.13036491807526432,6.505784727776641,-0.0602626143351004,-0.011999113799521302,-0.05848275481039982,69.301112104,18,0.1111111111111111,1.2134826704482797
20,60,15,0.02,0.03,10000,9896.410243004007,-1.7144250083197348,-0.30346598891058757,-0.04718604654248562,3.1541771083616372,-0.010413003326166764,-0.002083737634262121,-0.01035897569959925,71.06611099599999,18,0.4444444444444444,0.9609848854986377
20,60,15,0.02,0.05,10000,9711.969466100001,-1.1969031294831711,-0.4060429930607128,-0.08954139445253395,4.627658768364416,-0.029226002617183024,-0.0058373892187374874,-0.028803053389999878,70.29993790000002,18,0.3888888888888889,0.8247272981483927
20,60,15,0.02,0.07,10000,9632.100636344003,-1.605429332794769,-0.5804285713662184,-0.09809678784530032,5.421591717194756,-0.03748375635674613,-0.007480550158161188,-0.03678993636559971,70.178519656,18,0.2222222222222222,1.7978320789641098
